id;number;name;function;floor;coordX;coordY;radius;doorsX;doorsY;navigationPointConnection;aliases
87;25;sala 025;LECTURE;11;446;1857;70;446;1779;77;cw 025, 025 cw, centrum wyk³adowe sala 025, centrum wyk³adowe 025
88;27;sala 027;LECTURE;11;1102;1375;80;1000;1379;75;cw 027, 027 cw, centrum wyk³adowe sala 027, centrum wyk³adowe 027
89;28;sala 028;LECTURE;11;1279;1349;65;1277;1455;73;cw 028, 028 cw, centrum wyk³adowe sala 028, centrum wyk³adowe 028
90;29;sala 029;LECTURE;11;1132;1165;75;1000;1169;75;cw 029, 029 cw, centrum wyk³adowe sala 029, centrum wyk³adowe 029
91;210;sala 0210;LECTURE;11;1084;975;75;1000;975;75;cw 0210, 0210 cw, centrum wyk³adowe sala 0210, centrum wyk³adowe 0210
92;;toaleta damska;RESTROOM;11;1844;787;30;1868;828;70;toaleta damska, wc damskie, ³azienka damska
93;;toaleta mêska;RESTROOM;11;1898;944;30;1903;890;70;toaleta mêska, wc mêskie, ³azienka mêska
94;;toaleta dla niepe³nosprawnych;RESTROOM;11;1826;858;20;1855;861;70;toaleta dla niepe³nosprawnych, wc dla niepe³nosprawnych, ³azienka dla niepe³nosprawnych
95;;toaleta damska;RESTROOM;11;718;1682;35;853;1643;75;toaleta damska, wc damskie, ³azienka damska
96;;toaleta mêska;RESTROOM;11;718;1565;35;853;1583;75;toaleta mêska, wc mêskie, ³azienka mêska
97;;toaleta dla niepe³nosprawnych;RESTROOM;11;800;1615;20;826;1614;75;toaleta dla niepe³nosprawnych, wc dla niepe³nosprawnych, ³azienka dla niepe³nosprawnych
1000;1;Sala1TEst;LECTURE;14;1214;2069;50;1195;1955;1001;Sala 1 TCh
1001;2;Sala2Test;LECTURE;14;1451;1848;30;1379;1792;1001;Sala 2 Tch
1002;3;Sala3TEst;LECTURE;14;1789;1178;100;1425;1235;1002;Sala 3 TCh
